Name;Buy;Current;Gain;URL
Port Razer;2.97;2.99;0.02;https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Legends/Port-Razer?sellerCountry=1,35,6,25,31,30&language=1
Regrowth (V.1);0.39;0.33;-0.06;https://www.cardmarket.com/en/Magic/Products/Singles/Mystical-Archive/Regrowth-V1?sellerCountry=1,35,6,25,31,30&language=1
Scion of Draco;3.67;1.43;-2.24;https://www.cardmarket.com/en/Magic/Products/Singles/Modern-Horizons-2/Scion-of-Draco?sellerCountry=1,35,6,25,31,30&language=1
Icingdeath, Frost Tyrant;5.87;4.40;-1.47;https://www.cardmarket.com/en/Magic/Products/Singles/Adventures-in-the-Forgotten-Realms-Extras/Icingdeath-Frost-Tyrant?sellerCountry=1,35,6,25,31,30&language=1
Treasure Vault;6.97;6.83;-0.14;https://www.cardmarket.com/en/Magic/Products/Singles/Adventures-in-the-Forgotten-Realms-Extras/Treasure-Vault?sellerCountry=1,35,6,25,31,30&language=1
Temple of the Dragon Queen;0.35;0.37;0.02;https://www.cardmarket.com/en/Magic/Products/Singles/Adventures-in-the-Forgotten-Realms-Extras/Temple-of-the-Dragon-Queen?sellerCountry=1,35,6,25,31,30&language=1
Mountain (V.1);0.99;1.14;0.15;https://www.cardmarket.com/en/Magic/Products/Singles/Kamigawa-Neon-Dynasty/Mountain-V1?sellerCountry=1,35,6,25,31,30&language=1
Mountain (V.1);2.99;1.14;-1.85;https://www.cardmarket.com/en/Magic/Products/Singles/Kamigawa-Neon-Dynasty/Mountain-V1?sellerCountry=1,35,6,25,31,30&language=1
Mountain (V.2);0.99;0.82;-0.17;https://www.cardmarket.com/en/Magic/Products/Singles/Kamigawa-Neon-Dynasty/Mountain-V2?sellerCountry=1,35,6,25,31,30&language=1
Wily Goblin;0.17;0.17;0.00;https://www.cardmarket.com/en/Magic/Products/Singles/Ixalan/Wily-Goblin?sellerCountry=1,35,6,25,31,30&language=1
Moraug, Fury of Akoum;3.83;3.53;-0.30;https://www.cardmarket.com/en/Magic/Products/Singles/Zendikar-Rising-Extras/Moraug-Fury-of-Akoum?sellerCountry=1,35,6,25,31,30&language=1
Swarming Goblins;0.1;0.05;-0.05;https://www.cardmarket.com/en/Magic/Products/Singles/Adventures-in-the-Forgotten-Realms/Swarming-Goblins?sellerCountry=1,35,6,25,31,30&language=1
Den of the Bugbear;15.8;9.33;-6.47;https://www.cardmarket.com/en/Magic/Products/Singles/Adventures-in-the-Forgotten-Realms-Extras/Den-of-the-Bugbear?sellerCountry=1,35,6,25,31,30&language=1
Abrade;0.18;0.11;-0.07;https://www.cardmarket.com/en/Magic/Products/Singles/Innistrad-Crimson-Vow/Abrade?sellerCountry=1,35,6,25,31,30&language=1
Markov Enforcer (V.2);0.47;0.45;-0.02;https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Innistrad-Crimson-Vow/Markov-Enforcer-V2?sellerCountry=1,35,6,25,31,30&language=1
Coercive Recruiter;0.35;0.65;0.30;https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Legends-Extras/Coercive-Recruiter?sellerCountry=1,35,6,25,31,30&language=1
Brazen Dwarf;0.05;0.05;0.00;https://www.cardmarket.com/en/Magic/Products/Singles/Adventures-in-the-Forgotten-Realms/Brazen-Dwarf?sellerCountry=1,35,6,25,31,30&language=1
Vengeful Ancestor;0.78;4.81;4.03;https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Adventures-in-the-Forgotten-Realms-Extras/Vengeful-Ancestor?sellerCountry=1,35,6,25,31,30&language=1
Burn Down the House;0.65;0.48;-0.17;https://www.cardmarket.com/en/Magic/Products/Singles/Innistrad-Midnight-Hunt-Extras/Burn-Down-the-House?sellerCountry=1,35,6,25,31,30&language=1
Phyrexian Metamorph;2.4;2.87;0.47;https://www.cardmarket.com/en/Magic/Products/Singles/New-Phyrexia/Phyrexian-Metamorph?sellerCountry=1,35,6,25,31,30&language=1
Fanatic of Mogis;0.75;0.22;-0.53;https://www.cardmarket.com/en/Magic/Products/Singles/Theros/Fanatic-of-Mogis?sellerCountry=1,35,6,25,31,30&language=1
Neheb, the Eternal;13.95;11.86;-2.09;https://www.cardmarket.com/en/Magic/Products/Singles/Hour-of-Devastation/Neheb-the-Eternal?sellerCountry=1,35,6,25,31,30&language=1
Tendershoot Dryad;10.85;7.50;-3.35;https://www.cardmarket.com/en/Magic/Products/Singles/Rivals-of-Ixalan/Tendershoot-Dryad?sellerCountry=1,35,6,25,31,30&language=1
Nicol Bolas, the Ravager // Nicol Bolas, the Arisen;27.75;24.98;-2.77;https://www.cardmarket.com/en/Magic/Products/Singles/Core-2019/Nicol-Bolas-the-Ravager-Nicol-Bolas-the-Arisen?sellerCountry=1,35,6,25,31,30&language=1
Castle Vantress;1.21;1.58;0.37;https://www.cardmarket.com/en/Magic/Products/Singles/Throne-of-Eldraine/Castle-Vantress?sellerCountry=1,35,6,25,31,30&language=1
Souvenir Snatcher;0.13;0.22;0.09;https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Ikoria/Souvenir-Snatcher?sellerCountry=1,35,6,25,31,30&language=1
Beast Whisperer;1.55;2.47;0.92;https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Ikoria/Beast-Whisperer?sellerCountry=1,35,6,25,31,30&language=1
Oran-Rief, the Vastwood;0.32;0.34;0.02;https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Ikoria/Oran-Rief-the-Vastwood?sellerCountry=1,35,6,25,31,30&language=1
Terror of the Peaks;18.94;21.22;2.28;https://www.cardmarket.com/en/Magic/Products/Singles/Core-Set-2021/Terror-of-the-Peaks?sellerCountry=1,35,6,25,31,30&language=1
Lathliss, Dragon Queen;3.98;3.64;-0.34;https://www.cardmarket.com/en/Magic/Products/Singles/Jumpstart/Lathliss-Dragon-Queen?sellerCountry=1,35,6,25,31,30&language=1
Wall of Blossoms;0.09;0.14;0.05;https://www.cardmarket.com/en/Magic/Products/Singles/Jumpstart/Wall-of-Blossoms?sellerCountry=1,35,6,25,31,30&language=1
Terastodon;0.15;0.23;0.08;https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Legends-Extras/Terastodon?sellerCountry=1,35,6,25,31,30&language=1
Sarulf's Packmate;0.08;0.11;0.03;https://www.cardmarket.com/en/Magic/Products/Singles/Kaldheim/Sarulfs-Packmate?sellerCountry=1,35,6,25,31,30&language=1
Zealous Conscripts;0.6;0.92;0.32;https://www.cardmarket.com/en/Magic/Products/Singles/Time-Spiral-Remastered-Extras/Zealous-Conscripts?sellerCountry=1,35,6,25,31,30&language=1
Combustible Gearhulk;0.49;0.84;0.35;https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Strixhaven/Combustible-Gearhulk?sellerCountry=1,35,6,25,31,30&language=1
