Name;Buy;URL;2022-06-24;2022-06-25;2022-06-26;2022-06-27;2022-06-28;2022-06-29;2022-06-30;2022-07-01;2022-07-02;2022-07-03;2022-07-04;2022-07-05;2022-07-06;2022-07-07;2022-07-08;2022-07-09;2022-07-10;2022-07-11;2022-07-12;2022-07-13;2022-07-14;2022-07-15;2022-07-16;2022-07-17;2022-07-18;2022-07-19;2022-07-20;2022-07-21;2022-07-22;2022-07-23;2022-07-24;2022-07-25;2022-07-26;2022-07-27;2022-07-28;2022-07-29;2022-07-30;2022-07-31;2022-08-01;2022-08-02;2022-08-04;2022-08-21
Gaea's Cradle;124.99;"https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Gaea-s-Cradle?sellerCountry=1;35;6;25;31;30&language=1";557.46;557.46;541.84;541.84;527.34;563.86;563.86;563.86;561.02;575.59;575.59;564.12;545.92;556.54;556.54;556.54;556.54;556.54;556.54;553.50;553.66;553.66;553.66;553.66;553.66;543.18;558.28;567.45;573.71;574.32;594.69;594.69;596.13;608.52;590.97;593.73;593.73;593.73;593.73;596.06;590.38;578.05
Volcanic Island;230;"https://www.cardmarket.com/en/Magic/Products/Singles/Revised/Volcanic-Island?sellerCountry=1;35;6;25;31;30&language=1";527.46;527.46;527.46;527.46;527.46;526.88;534.08;532.23;532.76;532.31;530.88;530.88;535.28;535.72;535.72;535.72;536.05;536.05;536.30;537.89;539.27;539.27;540.67;543.60;543.60;544.96;539.98;539.98;539.98;539.01;539.01;539.01;539.01;533.68;533.68;533.67;530.41;524.16;528.51;528.51;519.52;536.79
Underground Sea;449;"https://www.cardmarket.com/en/Magic/Products/Singles/Revised/Underground-Sea?sellerCountry=1;35;6;25;31;30&language=1";517.15;509.10;509.10;509.85;512.82;512.70;513.10;513.10;513.10;515.46;515.46;519.69;521.33;522.65;526.66;526.66;526.66;526.66;526.66;524.84;524.84;524.84;520.60;530.39;530.39;530.39;530.39;537.79;547.12;544.51;542.92;542.92;542.92;544.45;540.54;541.70;542.68;546.08;546.08;545.25;530.79;536.65
Tropical Island;153.38;"https://www.cardmarket.com/en/Magic/Products/Singles/Revised/Tropical-Island?sellerCountry=1;35;6;25;31;30&language=1";446.34;447.40;447.40;447.40;445.11;445.11;445.20;445.20;443.15;443.79;443.79;440.92;440.59;440.59;440.59;440.13;438.67;438.67;431.73;425.16;423.08;423.08;424.58;425.36;425.36;425.36;429.66;423.13;427.85;430.96;425.91;425.91;428.06;424.96;424.96;424.96;424.84;424.09;424.09;423.96;421.54;424.10
Mox Diamond;34.99;"https://www.cardmarket.com/en/Magic/Products/Singles/Stronghold/Mox-Diamond?sellerCountry=1;35;6;25;31;30&language=1";416.92;419.25;419.25;419.25;421.56;421.56;420.88;419.22;419.22;420.31;419.73;419.73;417.56;417.25;419.12;415.17;415.17;415.17;415.90;411.98;406.78;411.56;409.76;410.79;410.79;410.79;405.60;405.60;404.39;404.87;408.98;410.71;412.13;414.43;414.43;416.18;416.20;411.96;414.14;416.53;420.16;413.72
Badlands;90;"https://www.cardmarket.com/en/Magic/Products/Singles/Revised/Badlands?sellerCountry=1;35;6;25;31;30&language=1";325.78;324.35;324.35;322.99;322.99;323.20;324.78;323.31;323.31;323.31;322.43;323.80;320.43;320.15;323.78;320.99;320.99;321.43;321.43;319.76;321.42;321.42;322.88;322.88;322.88;322.88;323.32;321.64;320.19;322.38;319.70;319.70;320.07;318.07;314.89;313.73;303.43;301.60;301.60;301.60;302.76;290.68
Power Artifact;85;"https://www.cardmarket.com/en/Magic/Products/Singles/Antiquities/Power-Artifact?sellerCountry=1;35;6;25;31;30&language=1";254.41;254.41;254.41;254.41;254.41;241.55;229.41;229.41;229.41;229.41;229.41;229.41;219.69;219.69;226.98;226.98;226.98;226.98;226.98;226.98;239.23;239.23;239.23;239.23;239.23;239.23;234.11;234.11;234.11;229.11;229.11;229.11;229.11;234.12;239.76;246.20;246.20;246.20;246.20;246.20;246.20;236.72
Transmute Artifact;89;"https://www.cardmarket.com/en/Magic/Products/Singles/Antiquities/Transmute-Artifact?sellerCountry=1;35;6;25;31;30&language=1";256.25;256.25;255.51;255.51;255.51;255.51;255.51;258.19;263.04;274.35;274.35;271.38;271.38;271.38;271.38;266.94;266.94;266.94;266.94;265.27;268.68;268.68;268.68;289.50;289.50;289.50;289.50;282.69;282.69;282.69;282.69;282.69;282.69;267.71;267.71;267.71;267.71;267.71;267.71;267.71;267.71;264.73
Serra's Sanctum;210;"https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Saga/Serra-s-Sanctum?sellerCountry=1;35;6;25;31;30&language=1";250.18;250.18;248.71;248.71;248.71;245.80;243.16;241.77;243.12;243.12;243.20;241.07;239.68;239.16;237.00;237.00;237.00;238.06;237.81;237.81;239.61;239.13;236.74;236.74;236.74;235.65;233.83;227.84;227.78;229.21;228.98;228.72;228.80;228.80;226.94;223.73;223.73;221.20;221.20;221.20;223.57;220.87
Grim Monolith;24.95;"https://www.cardmarket.com/en/Magic/Products/Singles/Urzas-Legacy/Grim-Monolith?sellerCountry=1;35;6;25;31;30&language=1";195.33;193.49;194.81;194.81;198.23;198.23;195.87;193.71;193.71;190.81;200.67;200.67;197.91;201.04;204.43;200.25;200.25;196.47;193.51;193.51;193.51;191.83;188.50;186.10;186.10;187.53;185.96;182.42;187.65;183.64;183.64;183.64;183.64;177.30;179.85;175.76;172.24;175.29;172.02;178.40;181.22;202.93
